ΑΒΕΡΚΙΟΣ                      ,M
ΑΒΡΑΑΜ                        ,M
ΑΓΑΘΗ                         ,F
ΑΓΑΘΟΚΛΗΣ                     ,M
ΑΓΑΘΟΝΙΚΗ                     ,F
ΑΓΑΘΟΥΛΑ                      ,F
ΑΓΑΜΕΜΝΩΝ                     ,M
ΑΓΑΠΗ                         ,F
ΑΓΑΠΙΟΣ                       ,M
ΑΓΓΕΛΑ                        ,F
ΑΓΓΕΛΗΣ                       ,M
ΑΓΓΕΛΙΚΗ                      ,F
ΑΓΓΕΛΙΚΟΥΛΑ                   ,F
ΑΓΓΕΛΙΝΑ                      ,F
ΑΓΓΕΛΟΣ                       ,M
ΑΓΗΣΙΛΑΟΣ                     ,M
ΑΓΛΑΪΑ                        ,F
ΑΓΝΗ                          ,F
ΑΓΟΡΑΣΤΗ                      ,F
ΑΓΟΡΗ                         ,F
ΑΓΟΡΙΤΣΑ                      ,F
ΑΓΟΡΟΥΛΑ                      ,F
ΑΔΑΜ                          ,M
ΑΔΕΛΑΪΔΑ                      ,F
ΑΔΡΙΑΝΟΣ                      ,M
ΑΘΑΝΑΣΙΑ                      ,F
ΑΘΑΝΑΣΙΟΣ                     ,M
ΑΘΗΝΑ                         ,F
ΑΘΗΝΟΔΩΡΟΣ                    ,M
ΑΘΗΝΟΥΛΑ                      ,F
ΑΙΓΛΗ                         ,F
ΑΙΚΑΤΕΡΙΝΑ                    ,F
ΑΙΚΑΤΕΡΙΝΗ                    ,F
ΑΙΜΙΛΙΑ                       ,F
ΑΙΜΙΛΙΟΣ                      ,M
ΑΚΡΙΒΗ                        ,F
ΑΚΡΙΒΟΥΛΑ                     ,F
ΑΛΒΕΡΤΟΣ                      ,M
ΑΛΕΚΑ                         ,F
ΑΛΕΞΑΝΔΡΑ                     ,F
ΑΛΕΞΑΝΔΡΟΣ                    ,M
ΑΛΕΞΙΑ                        ,F
ΑΛΕΞΙΟΣ                       ,M
ΑΛΙΚΗ                         ,F
ΑΛΚΗΣ                         ,M
ΑΛΚΗΣΤΙΣ                      ,F
ΑΛΚΙΒΙΑΔΗΣ                    ,M
ΑΛΚΙΝΟΗ                       ,F
ΑΛΚΙΝΟΟΣ                      ,M
ΑΛΚΙΣΤΗ                       ,F
ΑΛΚΜΗΝΗ                       ,F
ΑΛΤΑΝΗ                        ,F
ΑΜΑΛΙΑ                        ,F
ΑΜΑΡΥΛΛΙΣ                     ,F
ΑΜΥΓΔΑΛΙΑ                     ,F
ΑΜΦΙΤΡΙΤΗ                     ,F
ΑΝΑΡΓΥΡΟΣ                     ,M
ΑΝΑΣΤΑ                        ,F
ΑΝΑΣΤΑΣΙΑ                     ,F
ΑΝΑΣΤΑΣΙΟΣ                    ,M
ΑΝΑΤΟΛΗ                       ,F
ΑΝΔΡΕΑΝΑ                      ,F
ΑΝΔΡΕΑΝΝΑ                     ,F
ΑΝΔΡΕΑΣ                       ,M
ΑΝΔΡΙΑΝΑ                      ,F
ΑΝΔΡΙΑΝΗ                      ,F
ΑΝΔΡΙΑΝΝΑ                     ,F
ΑΝΔΡΙΑΝΟΣ                     ,M
ΑΝΔΡΟΚΛΗΣ                     ,M
ΑΝΔΡΟΜΑΧΗ                     ,F
ΑΝΔΡΟΝΙΚΗ                     ,F
ΑΝΔΡΟΝΙΚΟΣ                    ,M
ΑΝΔΡΟΥΛΑ                      ,F
ΑΝΕΖΑ                         ,F
ΑΝΕΣΤΗΣ                       ,M
ΑΝΕΤΑ                         ,F
ΑΝΘΗ                          ,F
ΑΝΘΙΑ                         ,F
ΑΝΘΙΜΟΣ                       ,M
ΑΝΘΙΠΠΗ                       ,F
ΑΝΘΟΥΛΑ                       ,F
ΑΝΙΤΑ                         ,F
ΑΝΝΑ                          ,F
ΑΝΝΕΤΑ                        ,F
ΑΝΝΗ                          ,F
ΑΝΝΙΤΑ                        ,F
ΑΝΤΖΕΛΑ                       ,F
ΑΝΤΙΓΟΝΗ                      ,F
ΑΝΤΙΟΠΗ                       ,F
ΑΝΤΡΕΑ                        ,F
ΑΝΤΡΙΑΝΑ                      ,F
ΑΝΤΩΝΙΑ                       ,F
ΑΝΤΩΝΙΝΑ                      ,F
ΑΝΤΩΝΙΟΣ                      ,M
ΑΝΥΣΙΑ                        ,F
ΑΠΟΛΛΩΝ                       ,M
ΑΠΟΣΤΟΛΙΑ                     ,F
ΑΠΟΣΤΟΛΙΝΑ                    ,F
ΑΠΟΣΤΟΛΟΣ                     ,M
ΑΡΓΥΡΗ                        ,F
ΑΡΓΥΡΙΑ                       ,F
ΑΡΓΥΡΙΟΣ                      ,M
ΑΡΓΥΡΟΥΛΑ                     ,F
ΑΡΓΥΡΩ                        ,F
ΑΡΕΤΗ                         ,F
ΑΡΗΣ                          ,M
ΑΡΙΑΔΝΗ                       ,F
ΑΡΙΑΝ                         ,M
ΑΡΙΣΤΕΑ                       ,F
ΑΡΙΣΤΕΙΔΗΣ                    ,M
ΑΡΙΣΤΗ                        ,F
ΑΡΙΣΤΟΓΕΙΤΩΝ                  ,M
ΑΡΙΣΤΟΜΕΝΗΣ                   ,M
ΑΡΙΣΤΟΣ                       ,M
ΑΡΙΣΤΟΤΕΛΗΣ                   ,M
ΑΡΙΣΤΟΥΛΑ                     ,F
ΑΡΙΣΤΟΦΑΝΗΣ                   ,M
ΑΡΣΕΝΙΑ                       ,F
ΑΡΣΕΝΙΟΣ                      ,M
ΑΡΣΙΝΟΗ                       ,F
ΑΡΤΕΜΗΣΙΑ                     ,F
ΑΡΤΕΜΙΟΣ                      ,M
ΑΡΤΕΜΙΣ                       ,F
ΑΡΧΙΜΗΔΗΣ                     ,M
ΑΡΧΟΝΤΗ                       ,F
ΑΡΧΟΝΤΙΑ                      ,F
ΑΡΧΟΝΤΙΣΣΑ                    ,F
ΑΡΧΟΝΤΟΥΛΑ                    ,F
ΑΡΧΟΝΤΩ                       ,F
ΑΣΗΜΑΚΗΣ                      ,M
ΑΣΗΜΕΝΗ                       ,F
ΑΣΗΜΕΝΙΑ                      ,F
ΑΣΗΜΙΝΑ                       ,F
ΑΣΗΜΟΥΛΑ                      ,F
ΑΣΗΜΩ                         ,F
ΑΣΠΑΣΙΑ                       ,F
ΑΣΤΕΡΙΑ                       ,F
ΑΣΤΕΡΙΟΣ                      ,M
ΑΣΤΕΡΩ                        ,F
ΑΣΤΡΙΝΙΑ                      ,F
ΑΣΤΡΙΝΟΣ                      ,M
ΑΤΑΛΑΝΤΗ                      ,F
ΑΥΓΕΡΙΝΟΣ                     ,M
ΑΥΓΗ                          ,F
ΑΥΓΟΥΣΤΙΝΑ                    ,F
ΑΥΓΟΥΣΤΙΝΗ                    ,F
ΑΥΓΟΥΣΤΙΝΟΣ                   ,M
ΑΥΡΑ                          ,F
ΑΦΕΝΔΡΑ                       ,F
ΑΦΕΝΤΟΥΛΑ                     ,F
ΑΦΘΟΝΙΑ                       ,F
ΑΦΡΟΔΙΤΗ                      ,F
ΑΧΙΛΛΕΑΣ                      ,M
ΑΧΜΕΤ                         ,M
ΒΑΓΙΑ                         ,F
ΒΑΓΙΟΥΛΑ                      ,F
ΒΑΪΑ                          ,F
ΒΑΪΟΣ                         ,M
ΒΑΪΤΣΑ                        ,F
ΒΑΚΙΝΑ                        ,F
ΒΑΛΑΝΤΗΣ                      ,M
ΒΑΛΑΣΙΑ                       ,F
ΒΑΛΕΝΤΙΝΑ                     ,F
ΒΑΛΕΝΤΙΝΗ                     ,F
ΒΑΛΕΝΤΙΝΟΣ                    ,M
ΒΑΛΣΑΜΗΣ                      ,M
ΒΑΡΒΑΡΑ                       ,F
ΒΑΣΙΛΕΙΑ                      ,F
ΒΑΣΙΛΕΙΟΣ                     ,M
ΒΑΣΙΛΙΚΗ                      ,F
ΒΑΣΟΥΛΑ                       ,F
ΒΑΣΩ                          ,F
ΒΕΑΤΡΙΚΗ                      ,F
ΒΕΛΙΣΣΑΡΙΑ                    ,F
ΒΕΛΙΣΣΑΡΙΟΣ                   ,M
ΒΕΛΟΥΔΩ                       ,F
ΒΕΝΕΤΑ                        ,F
ΒΕΝΕΤΙΑ                       ,F
ΒΕΝΕΤΤΑ                       ,F
ΒΕΝΙΑΜΙΝ                      ,M
ΒΕΡΑ                          ,F
ΒΕΡΓΟΣ                        ,M
ΒΕΡΟΝΙΚΑ                      ,F
ΒΕΡΟΝΙΚΗ                      ,F
